"","Phylum","INDO18S12S1A","INDO18S12S1B","INDO18S12S1C","INDO18S12S2A","INDO18S12S2B","INDO18S12S2C","INDO18S13S1A","INDO18S13S1B","INDO18S13S1C","mean_all"
"1","Chordata",0.0701529374377984,0.236116762125338,0.217974879176435,0.178995702596103,0.413689332944699,0.153264174566267,0.082954575925777,0.0705521796193539,0.224514143632856,0.18313496533607
"2","Arthropoda",0.222823966858798,0.188950789229341,0.0964728687247056,0.226719255901572,0.214674946385795,0.127081221804885,0.206104362749041,0.193715011558721,0.160979294658089,0.181946857541216
"3","Annelida",0.148052649907043,0.114318279031434,0.349603803486529,0.176888208630129,0.101833210115567,0.132538404976252,0.103216421312311,0.14375741112804,0.177899249612541,0.160900848688872
"4","Cnidaria",0.102312234424149,0.1497710035158,0.109033280507132,0.160190734090775,0.0437850953473872,0.215020171307061,0.0446866704207224,0.0918258556444207,0.0388908091473681,0.106168428267202
"5","Rhodophyta",0.110500486195289,0.0858006530833672,0.0665295804901049,0.0741084358627185,0.086705414310891,0.13782070390906,0.117250556404687,0.152842530462595,0.0724240971378238,0.100442495317393
"6","Porifera",0.121946531838655,0.0589157355533995,0.0225092009272963,0.0329145817389769,0.0426134005594022,0.0946779546493372,0.125616737725579,0.124834184256917,0.183962001181888,0.0897767031590501
"7","Mollusca",0.0231527909131908,0.0358126506212638,0.0118505324095297,0.0415965149820451,0.0215750125952364,0.0208390468808999,0.0958356796181589,0.0444263039187054,0.04074169054601,0.0373144691650044
"8","Bryozoa",0.0731785754382894,0.0434780340730076,0.00872549148013778,0.0249343615706128,0.0196234748182136,0.0446272779665733,0.0274682916365001,0.0202743832709948,0.0192028945109102,0.0312791983072488
"9","Echinodermata",0.0247226974228795,0.0333192492671069,0.0663331194090451,0.0078648378171543,0.00567895562809211,0.00291341242870486,0.0642345748531896,0.0313721626595262,0.00836241595771963,0.027200158382602
"10","Platyhelminthes",0.0290994064801935,0.0118384401114206,0.00766984060457623,0.0106198857950197,0.0142186224189417,0.0127446888849142,0.0244114176923283,0.0132898899018652,0.00861607590843712,0.0147231408664107
"11","Ochrophyta",0.0182432651010734,0.00743847349587389,0.0128564131445561,0.015364690645788,0.00938320982602166,0.0218009101929689,0.0145302067412115,0.018082272757661,0.0146676775898402,0.0147074577216661
"12","Entoprocta",0.00431010696296353,0.00197437743210958,0.000749171589108198,0.00419379525519515,0.00083389151303052,0.00318965003279079,0.0323217493899659,0.0539160664459309,0.00412267106715578,0.01173460885425
"13","Nematoda",0.0158741334591796,0.00513546785181476,0.00267972914565625,0.0109095190439748,0.0053894099638454,0.00465033088892863,0.0121604590673853,0.00675930063581761,0.0100767112290521,0.00818167347618383
"14","Miozoa",0.00611216934438801,0.00369837146463856,0.0147293421173266,0.0147147818920351,0.00418103939172247,0.00727756910908404,0.0058556565575309,0.00495424013286371,0.00357075161394628,0.00723265795817063
"15","Xenacoelomorpha",0.0122471736925533,0.0032549841945479,0.000893243048552082,0.00669217637016542,0.00695681715963425,0.0037182773902502,0.0112889818464591,0.00244193370185186,0.00341186571074961,0.00565616145719597
"16","Nemertea",0.00192955781918102,0.0095145691840631,0.00353629945907716,0.00178960381468182,0.00117941600569826,0.00281205906317693,0.0165010859946907,0.00122800412384193,0.0063916732636837,0.00498691874756607
"17","Retaria",0.00108466267942128,0.00032602005153725,0.000390302681038886,0.00117737093071172,0.000503809455789273,0.000794928357081818,0.00421996085056177,0.0122835598748773,0.0107875165854583,0.00350757016294196
"18","Ciliophora",0.00351088183075837,0.00151534119954514,0.00100850021610719,0.00287513981279802,0.0014747525832299,0.00299489258530575,0.00322781755289196,0.00227655778832587,0.00220210286886617,0.00234288738198093
"19","Sipuncula",0.00314361885334029,0.0029915599929058,0.00104779243231916,0.00160122446576794,0.00263486554464505,0.000784991752618295,0.00133067867964497,0.00218155460395987,0.002684335522428,0.00204451353862549
"20","Chlorophyta",0.0029628417401034,0.00171095323046749,0.00259590575107071,0.00148819685641961,0.00120450996326631,0.0021403446014428,0.00164239937789934,0.00232581869873787,0.00222440264475342,0.00203281920712899
"21","Bigyra",0.00139674106437758,0.00164835738057233,0.00135165223769171,0.00177312062165185,0.000563648893066926,0.00239670899660168,0.00135749336336578,0.00270231279974384,0.00222440264475342,0.00171271533353613
"22","Cercozoa",0.001705013615371,0.0013066883665613,0.000908959935036869,0.00127627008889151,0.000627348939201201,0.00165543830362289,0.00103236532325101,0.000654466381187962,0.000596519004984,0.00108478555090086
"23","Kinorhyncha",0.000576583845376578,4.4338727009066e-05,2.3575329727181e-05,0.000228409960558074,4.24666974228506e-05,0.000127188537133091,0.00127369747673826,0.000295565462471983,0.000172823263126206,0.000309405477729254
"24","Gastrotricha",7.23108452947523e-05,4.6946887421364e-05,3.66727351311705e-05,8.24159651498204e-05,7.9142481560767e-05,0.00144875693078161,0.000107258734883222,1.40745458319992e-05,0.000579794173068561,0.000274152588791474
"25","Brachiopoda",3.99612566102579e-05,0.000461644392976746,0,0.000233119444280921,1.93030442831139e-06,0.000216617977304795,1.67591773255034e-05,0.00104855366448394,0,0.000224287357490053
"26","Pseudofungi",0.000220738369847139,0.000146056983088688,0.000209558486463832,0.000117737093071172,9.84455258438808e-05,0.000276237604085932,0.000455849623253694,0.000200562278105988,0.000170035791140299,0.000210580194988958
"27","Charophyta",8.943709812772e-05,7.04203311320459e-05,7.85844324239368e-06,7.77064814269736e-05,8.49333948457011e-05,0.000313996701047318,0.000137425254069128,0.000904289569705948,8.64116315631028e-05,0.00019694210057337
"28","Ctenophora",5.1378758498903e-05,1.0432641649192e-05,1.04779243231916e-05,1.41284511685406e-05,1.93030442831139e-06,0.00130169518472148,0,3.5186364579998e-06,0,0.000154840211249735
"29","Ascomycota",0.000169359611348236,0.000146056983088688,6.02480648583516e-05,0.000167186672161064,0.000121609178983618,0.000206681372841273,0.000134073418604028,0.000274453643723984,8.08366875912897e-05,0.000151167292577837
"30","Choanozoa",0.000102757516997806,9.12856144304299e-05,2.3575329727181e-05,0.000103608641902631,4.82576107077847e-05,6.75689103519545e-05,0.000167591773255034,9.50031843659945e-05,0.000103136463478542,8.91983383574843e-05
"31","Amoebozoa",3.23495886844945e-05,2.608160412298e-05,3.40532540503726e-05,7.06422558427032e-05,3.08848708529822e-05,9.14167610644091e-05,7.03885447671145e-05,4.92609104119971e-05,2.78747198590654e-05,4.81058344062354e-05
"32","Hemichordata",0,0,0,0,0,1.98732089270455e-06,0.000184350950580538,0.000140745458319992,5.01744957463177e-05,4.19175806155058e-05
"33","Haptophyta",2.28350037772902e-05,2.608160412298e-05,1.57168864847874e-05,3.29663860599282e-05,1.93030442831139e-05,3.17971342832727e-05,2.68146837208055e-05,1.7593182289999e-05,2.78747198590654e-05,2.45536272090269e-05
"34","Sulcuzoa",2.09320867958494e-05,5.216320824596e-06,1.57168864847874e-05,4.70948372284688e-05,1.15818265698683e-05,2.186052981975e-05,4.02220255812083e-05,3.16677281219982e-05,2.22997758872523e-05,2.4065779701531e-05
"35","Basidiomycota",1.3320418870086e-05,2.3473443710682e-05,1.83363675655853e-05,4.00306116441985e-05,1.54424354264911e-05,1.19239253562273e-05,1.00555063953021e-05,2.11118187479988e-05,2.22997758872523e-05,1.9554922622647e-05
"36","Heliozoa",1.90291698144085e-06,2.0865283298384e-05,5.23896216159579e-06,1.64831930299641e-05,5.79091328493417e-06,1.39112462489318e-05,4.69256965114096e-05,3.87050010379978e-05,2.50872478731589e-05,1.94344956030908e-05
"37","Loukozoa",2.66408377401719e-05,1.8257122886086e-05,4.19116972927663e-05,1.41284511685406e-05,1.54424354264911e-05,9.93660446352273e-06,6.70367093020138e-06,1.05559093739994e-05,2.78747198590654e-06,1.62626890297429e-05
"38","Tardigrada",5.70875094432255e-06,0,2.61948108079789e-06,4.23853535056219e-05,6.17697417059645e-05,9.93660446352273e-06,0,0,2.78747198590654e-06,1.3911933742904e-05
"39","Metamonada",1.90291698144085e-06,0,2.61948108079789e-06,0,1.54424354264911e-05,8.7442119279e-05,0,0,8.36241595771963e-06,1.28632631917166e-05
"40","Zygomycota",5.32816754803438e-05,0,2.61948108079789e-06,2.35474186142344e-06,1.93030442831139e-06,3.97464178540909e-06,2.68146837208055e-05,0,8.36241595771963e-06,1.10375493683123e-05
"41","Acanthocephala",5.70875094432255e-06,0,0,0,0,0,3.35183546510069e-06,8.79659114499949e-05,0,1.07807219843798e-05
"42","Rotifera",1.90291698144085e-06,2.608160412298e-06,2.61948108079789e-06,7.06422558427032e-06,5.79091328493417e-06,5.96196267811363e-06,1.67591773255034e-05,1.40745458319992e-05,1.67248319154393e-05,8.16735723275519e-06
"43","Sulcozoa",3.8058339628817e-06,0,1.30974054039895e-05,2.35474186142344e-06,0,0,1.00555063953021e-05,2.11118187479988e-05,8.36241595771963e-06,6.53196914770168e-06
"44","Placozoa",7.6116679257634e-06,2.608160412298e-06,1.30974054039895e-05,2.35474186142344e-06,0,1.98732089270455e-06,3.35183546510069e-06,7.03727291599959e-06,1.11498879436262e-05,5.46647698010059e-06
"45","Cryptista",5.70875094432255e-06,0,0,4.70948372284688e-06,3.86060885662278e-06,5.96196267811363e-06,6.70367093020138e-06,3.5186364579998e-06,1.39373599295327e-05,4.93338594662664e-06
"46","Chytridiomycota",7.6116679257634e-06,0,0,4.70948372284688e-06,3.86060885662278e-06,0,3.35183546510069e-06,0,2.78747198590654e-06,2.48011866180448e-06
"47","Chaetognatha",3.8058339628817e-06,0,0,0,0,0,0,1.40745458319992e-05,0,1.98670886609788e-06
"48","Orthonectida",0,1.5648962473788e-05,0,0,0,0,0,0,0,1.73877360819867e-06
"49","Glomeromycota",0,5.216320824596e-06,0,0,0,0,3.35183546510069e-06,0,2.78747198590654e-06,1.26173647506703e-06
"50","Loricifera",0,0,0,0,0,0,0,1.05559093739994e-05,0,1.17287881933327e-06
"51","Hermichordata",0,0,1.04779243231916e-05,0,0,0,0,0,0,1.16421381368795e-06
